Week,Drake: (United States),Kanye West: (United States),Adidas Yeezy: (United States),Off-White: (United States)
8/27/2017,10,8,7,3
9/3/2017,9,6,7,3
9/10/2017,9,6,6,3
9/17/2017,10,9,6,3
9/24/2017,10,10,6,3
10/1/2017,9,6,6,3
10/8/2017,12,7,6,3
10/15/2017,10,8,6,3
10/22/2017,12,8,6,3
10/29/2017,9,8,6,3
11/5/2017,11,9,7,4
11/12/2017,12,8,13,4
11/19/2017,12,8,20,7
11/26/2017,10,7,14,4
12/3/2017,10,7,11,4
12/10/2017,10,6,18,3
12/17/2017,10,7,11,4
12/24/2017,13,7,11,4
12/31/2017,11,6,8,3
1/7/2018,10,6,7,4
1/14/2018,14,12,6,4
1/21/2018,19,7,6,3
1/28/2018,14,8,7,4
2/4/2018,14,7,6,3
2/11/2018,19,7,7,3
2/18/2018,18,6,6,4
2/25/2018,16,6,6,4
3/4/2018,14,5,9,4
3/11/2018,17,7,7,3
3/18/2018,15,6,6,3
3/25/2018,14,7,5,6
4/1/2018,17,6,5,4
4/8/2018,20,6,7,4
4/15/2018,17,10,7,3
4/22/2018,15,56,8,4
4/29/2018,17,73,6,3
5/6/2018,14,24,5,5
5/13/2018,24,11,5,3
5/20/2018,25,11,4,4
5/27/2018,100,35,5,4
6/3/2018,32,28,6,4
6/10/2018,24,17,6,5
6/17/2018,25,12,5,4
6/24/2018,66,9,10,4
7/1/2018,68,10,9,3
7/8/2018,52,8,7,4
7/15/2018,35,7,6,4
7/22/2018,34,8,5,6
7/29/2018,32,8,6,5
8/5/2018,26,11,6,4
8/12/2018,23,10,6,4
8/19/2018,22,8,6,4
8/26/2018,22,8,5,4
9/2/2018,21,11,6,4
9/9/2018,21,14,7,3
9/16/2018,25,14,15,4
9/23/2018,21,14,10,4
9/30/2018,16,40,9,5
10/7/2018,21,43,7,5
10/14/2018,25,27,6,4
10/21/2018,19,10,7,4
10/28/2018,14,14,8,4
11/4/2018,13,8,7,4
11/11/2018,14,8,12,4
11/18/2018,13,6,14,5
11/25/2018,13,7,12,5
12/2/2018,13,7,10,4
12/9/2018,21,16,12,5
12/16/2018,15,11,10,5
12/23/2018,13,7,20,5
12/30/2018,14,10,9,4
1/6/2019,17,6,8,4
1/13/2019,14,6,7,4
1/20/2019,13,6,6,4
1/27/2019,11,6,6,4
2/3/2019,11,5,5,5
2/10/2019,18,6,5,4
2/17/2019,13,6,6,3
