Week,checks over stripes: (United States),SICKO MODE: (United States),sum
2/25/2018,0,0,0
3/4/2018,0,0,0
3/11/2018,0,0,0
3/18/2018,0,0,0
3/25/2018,0,0,0
4/1/2018,0,0,0
4/8/2018,0,0,0
4/15/2018,0,0,0
4/22/2018,0,0,0
4/29/2018,0,0,0
5/6/2018,0,0,0
5/13/2018,0,0,0
5/20/2018,0,0,0
5/27/2018,0,0,0
6/3/2018,0,0,0
6/10/2018,0,0,0
6/17/2018,0,0,0
6/24/2018,0,0,0
7/1/2018,0,0,0
7/8/2018,0,0,0
7/15/2018,0,0,0
7/22/2018,0,0,0
7/29/2018,1,23,24
8/5/2018,1,37,38
8/12/2018,1,27,28
8/19/2018,1,24,25
8/26/2018,1,25,26
9/2/2018,2,22,24
9/9/2018,1,20,21
9/16/2018,1,21,22
9/23/2018,1,21,22
9/30/2018,1,22,23
10/7/2018,1,21,22
10/14/2018,1,41,42
10/21/2018,1,43,44
10/28/2018,1,32,33
11/4/2018,1,29,30
11/11/2018,1,33,34
11/18/2018,1,32,33
11/25/2018,1,42,43
12/2/2018,1,42,43
12/9/2018,2,70,72
12/16/2018,3,62,65
12/23/2018,1,54,55
12/30/2018,1,60,61
1/6/2019,1,68,69
1/13/2019,1,59,60
1/20/2019,1,45,46
1/27/2019,1,46,47
2/3/2019,1,100,101
2/10/2019,1,49,50
2/17/2019,1,38,39
